DateTime,Inj Gas Meter Volume Instantaneous,Inj Gas Meter Volume Setpoint,Inj Gas Valve Percent Open,Normalized_Inj Gas Meter Volume Instantaneous,Normalized_Inj Gas Meter Volume Setpoint,Normalized_Inj Gas Valve Percent Open,TimeUnit
2024-09-22 00:15:00,920.97615,,,0.9356579804168114,,,15968
2024-09-22 00:20:00,920.96205,,,0.935643655640297,,,15969
2024-09-22 01:05:00,,910.5,,,1.0,,15970
2024-09-22 01:40:00,934.1751,,,0.9490673427554805,,,15971
2024-09-22 01:45:00,,910.5,43.51945,,1.0,0.13813193441870478,15972
2024-09-22 01:50:00,939.19215,,,0.9541643725435485,,,15973
2024-09-22 01:55:00,939.3099,,,0.954283999666568,,,15974
2024-09-22 02:00:00,943.168425,,43.51945,0.9582040357162396,,0.13813193441870478,15975
2024-09-22 02:10:00,942.0063,,,0.9570233845880949,,,15976
2024-09-22 02:15:00,942.3276,,,0.9573498066231366,,,15977
2024-09-22 02:20:00,948.65115,,,0.9637741641073828,,,15978
2024-09-22 02:25:00,953.73105,,,0.9689350458248077,,,15979
2024-09-22 02:40:00,963.92235,,,0.9792888114199557,,,15980
2024-09-22 03:00:00,962.79405,910.5,43.51945,0.9781425245163217,1.0,0.13813193441870478,15981
2024-09-22 03:05:00,970.5504,,,0.9860225231204178,,,15982
2024-09-22 03:10:00,973.1256499999996,,,0.9886388267174959,,,15983
2024-09-22 03:50:00,973.2873,910.5,,0.9888030536766139,1.0,,15984
2024-09-22 04:00:00,973.2873,910.5,43.51945,0.9888030536766139,1.0,0.13813193441870478,15985
2024-09-22 04:30:00,,910.5,,,1.0,,15986
2024-09-22 05:00:00,,,43.51945,,,0.13813193441870478,15987
2024-09-22 05:30:00,973.30275,,37.28858,0.988818749974284,,0.04305163024694087,15988
2024-09-22 05:35:00,979.820325,,,0.9954402255268432,,,15989
2024-09-22 05:50:00,944.660475,,36.7808,0.9597198713756983,,0.035303133351268404,15990
2024-09-22 05:55:00,945.8039500000006,,,0.9608815751930638,,,15991
2024-09-22 06:00:00,948.5169,910.5,36.7808,0.9636377739480166,1.0,0.035303133351268404,15992
2024-09-22 06:05:00,957.1218,,,0.9723798497940509,,,15993
2024-09-22 06:15:00,956.4183,,,0.9716651348807243,,,15994
2024-09-22 06:20:00,953.74665,,,0.9689508945137173,,,15995
2024-09-22 06:35:00,960.437625,,,0.9757485343391562,,,15996
